"DTI_CL_MES","Month","DTI_CL_ESTACIONES_METEO","DMC weather stations","Value","Flag Codes","Flags"
"2010-M01","2010 January","T001001","Chacalluta",27.1,,
"2010-M01","2010 January","T001002","Diego Aracena",24.5,,
"2010-M01","2010 January","T001003","Cerro Moreno",25.9,,
"2010-M01","2010 January","T001004","Mataveri",29,,
"2010-M01","2010 January","T001007","La Florida",22.9,,
"2010-M01","2010 January","T001009","Punta Ángeles",28.9,,
"2010-M01","2010 January","T001010","Jardín Botánico",35.2,,
"2010-M01","2010 January","T001011","Quinta Normal",35.4,,
"2010-M01","2010 January","T001012","Arturo Merino Benítezl",35.9,,
"2010-M01","2010 January","T001014","Juan Fernández",25.1,,
"2010-M01","2010 January","T001015","Graneros",35.5,,
"2010-M01","2010 January","T001016","General Freire",33,,
"2010-M01","2010 January","T001017","Bernardo O'Higgins",34.4,,
"2010-M01","2010 January","T001018","Carriel Sur",27,,
"2010-M01","2010 January","T001019","Maquehue",28.6,,
"2010-M01","2010 January","T001020","Pichoy",29.2,,
"2010-M01","2010 January","T001021","Cañal Bajo",26.8,,
"2010-M01","2010 January","T001022","El Tepual",23.7,,
"2010-M01","2010 January","T001023","Teniente Vidal",21.2,,
"2010-M01","2010 January","T001024","Balmaceda",19.8,,
"2010-M01","2010 January","T001025","Pdte. Carlos Ibáñez",17,,
"2010-M01","2010 January","T001026","Eduardo Frei Montalva",6.3,,
"2010-M02","2010 February","T001001","Chacalluta",29.2,,
"2010-M02","2010 February","T001002","Diego Aracena",24.6,,
"2010-M02","2010 February","T001003","Cerro Moreno",25.6,,
"2010-M02","2010 February","T001004","Mataveri",28.2,,
"2010-M02","2010 February","T001007","La Florida",26.6,,
"2010-M02","2010 February","T001009","Punta Ángeles",24.3,,
"2010-M02","2010 February","T001010","Jardín Botánico",32.6,,
"2010-M02","2010 February","T001011","Quinta Normal",33.4,,
"2010-M02","2010 February","T001012","Arturo Merino Benítezl",33.8,,
"2010-M02","2010 February","T001014","Juan Fernández",23.7,,
"2010-M02","2010 February","T001015","Graneros",32.4,,
"2010-M02","2010 February","T001016","General Freire",31.6,,
"2010-M02","2010 February","T001017","Bernardo O'Higgins",31,,
"2010-M02","2010 February","T001018","Carriel Sur",25.2,,
"2010-M02","2010 February","T001019","Maquehue",31.9,,
"2010-M02","2010 February","T001020","Pichoy",29,,
"2010-M02","2010 February","T001021","Cañal Bajo",28.1,,
"2010-M02","2010 February","T001022","El Tepual",24,,
"2010-M02","2010 February","T001023","Teniente Vidal",27,,
"2010-M02","2010 February","T001024","Balmaceda",25.6,,
"2010-M02","2010 February","T001025","Pdte. Carlos Ibáñez",17.7,,
"2010-M02","2010 February","T001026","Eduardo Frei Montalva",2.8,,
"2010-M03","2010 March","T001001","Chacalluta",26.9,,
"2010-M03","2010 March","T001002","Diego Aracena",25.8,,
"2010-M03","2010 March","T001003","Cerro Moreno",25.4,,
"2010-M03","2010 March","T001004","Mataveri",27.8,,
"2010-M03","2010 March","T001007","La Florida",24.2,,
"2010-M03","2010 March","T001009","Punta Ángeles",23.3,,
"2010-M03","2010 March","T001010","Jardín Botánico",27.8,,
"2010-M03","2010 March","T001011","Quinta Normal",34,,
"2010-M03","2010 March","T001012","Arturo Merino Benítezl",34.4,,
"2010-M03","2010 March","T001014","Juan Fernández",24.2,,
"2010-M03","2010 March","T001015","Graneros",33.3,,
"2010-M03","2010 March","T001016","General Freire",33.2,,
"2010-M03","2010 March","T001017","Bernardo O'Higgins",32,,
"2010-M03","2010 March","T001018","Carriel Sur",27.2,,
"2010-M03","2010 March","T001019","Maquehue",28,,
"2010-M03","2010 March","T001020","Pichoy",25.2,,
"2010-M03","2010 March","T001021","Cañal Bajo",27.1,,
