Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
EVENTOS ESCAPE DE PECES (SALMÓNIDOS)  HISTÓRICOS 2010 A 2024,,,,,,,,,
NÚMERO EVENTO,REGIÓN,COMUNA,CÓDIGO CENTRO,TITULAR/OPERADOR,ACS,FECHA DE EVENTO,AÑO,NÚMERO PECES ESCAPADOS,ESPECIE
1,Región de Aysén del General Carlos Ibáñez del Campo,Cisnes,110507,EXPORTADORA LOS FIORDOS LTDA.,18C,2010-02-14 00:00:00,2010,97884,Trucha arcoíris
2,Región de Los Ríos,Corral,100093,"TORNAGALEONES LTDA., GRANJA MARINA",NOAPLICA,2010-02-27 00:00:00,2010,90520,Salmón plateado o Coho
3,Región de Los Ríos,Corral,100304,"TORNAGALEONES LTDA., GRANJA MARINA",NOAPLICA,2010-02-27 00:00:00,2010,19797,Salmón plateado o Coho
4,Región de Los Lagos,Quemchi,102505,CERMAQ CHILE S.A.,8,2011-03-03 00:00:00,2011,15500,Salmón del Atlántico
5,Región de Aysén del General Carlos Ibáñez del Campo,Aysén,110384,MULTIEXPORT S.A.,22D,2012-03-05 00:00:00,2012,37476,Salmón del Atlántico
6,Región de Aysén del General Carlos Ibáñez del Campo,Cisnes,110650,SALMONES BLUMAR S.A.,19A,2012-04-09 00:00:00,2012,32448,Salmón del Atlántico
7,Región de Magallanes y de la Antártica Chilena,Natales,120035,ACUIMAG S.A.,45,2012-08-18 00:00:00,2012,932,Salmón del Atlántico
8,Región de Los Lagos,Calbuco,102833,MARINE HARVEST S.A.,2,2012-09-16 00:00:00,2012,400,Salmón del Atlántico
9,Región de Los Lagos,Quemchi,101987,AQUACHILE MAULLIN LTDA.,8,2012-10-20 00:00:00,2012,8631,Trucha arcoíris
10,Región de Los Lagos,Calbuco,104066,CERMAQ CHILE S.A.,2,2012-12-20 00:00:00,2012,20850,Trucha arcoíris
11,Región de Los Lagos,Quellón,102003,INVERMAR S.A.,11,2013-01-14 00:00:00,2013,40559,Salmón del Atlántico
12,Región de Los Lagos,Chaitén,102936,SALMONES HUMBOLDT SPA,14,2013-01-15 00:00:00,2013,164838,Salmón del Atlántico
13,Región de Los Lagos,Quinchao,102125,MARINE HARVEST S.A.,9C,2013-01-18 00:00:00,2013,1000,Salmón del Atlántico
14,Región de Los Lagos,Calbuco,100444,CERMAQ CHILE S.A.,3A,2013-04-18 00:00:00,2013,13000,Salmón del Atlántico
15,Región de Aysén del General Carlos Ibáñez del Campo,Aysén,110739,AUSTRALIS MAR S.A.,23B,2013-04-30 00:00:00,2013,30589,Salmón del Atlántico
16,Región de Aysén del General Carlos Ibáñez del Campo,Aysén,110439,EMPRESAS AQUACHILE S.A ,21C,2013-05-25 00:00:00,2013,947929,Salmón del Atlántico
17,Región de Los Lagos,Hualaihué,101964,MARINE HARVEST S.A.,17A,2013-06-18 00:00:00,2013,3000,Salmón del Atlántico
